name,launchDate,audienceCum8,screen8,audienceCum14,screen14,nation,grade,groupGenre,favor,holiday,like,dislike,distCom,director,actor,actorPower8,actorPower14,directorPower8,directorPower14,distPower8,distPower14,launchDay,series,8hol,14hol
어벤져스: 에이지 오브 울트론,2015-04-23,4664133,1843,8466698,1843,northA,12,Action/Criminal,87994,0,96176,8182,월트디즈니컴퍼니코리아(주),조스 웨던,"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨,제레미 레너,돈 치들,애런 존슨,엘리자베스 올슨,폴 베타니,코비 스멀더스,제임스 스페이더,사무엘 L. 잭슨,수현",18974701.217,30259850.467,4664133,8466698,1425444.125,2503493.875,Thu,1,2,5
짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,2015-04-23,56197,372,139701,372,others,All,Animation,12398,0,13051,653,(주)이수C&E,다카하시 와타루,,1,1,56197,139701,181013.07692,225892.15385,Thu,0,2,5
위험한 상견례 2,2015-04-29,334834,429,435214,429,korea,15,Melo/Romance,1978,0,2757,779,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",김진영,"진세연,홍종현,신정근,임수연,정명호,박진수,박태규,조영란,조용재,오재호,유성진,이동민,이상현,이상협,이석현,차종호,이철민,김선영,신대섭,박은혜",3810467.5,5166187,334834,435214,1096441.2105,1425447.8421,Wed,1,3,5
차이나타운,2015-04-29,908156,551,1304081,551,korea,19,Action/Criminal,4962,0,5953,991,CGV아트하우스,한준희,"김혜수,김고은,엄태구,박보검,고경표,오대환,배유람,이혁준,백동현,조경섭,권지훈,김경애,오유진,우종현,유지현,김성종,이상희,이수경,김수안,정석용,이대연,이루리,안재홍,기주봉,조복래,이민지",9577313.0833,14521588.333,908156,1304081,421651.66667,606124.26667,Wed,0,3,5
노아의 방주: 남겨진 녀석들,2015-04-30,181604,436,206683,436,europe,All,Animation,449,0,543,94,씨네그루(주)다우기술,토비 젠켈,"김하영,배진홍,윤세웅",544812,620049,181604,206683,281614.25,348647.375,Thu,0,3,5
다이노 타임,2015-04-30,198155,430,242612,430,korea,All,Animation,535,0,646,111,씨제이이앤엠(주),"최윤석,존 카프카","멜라니 그리피스,제인 린치,윌리엄 볼드윈,스티븐 볼드윈,롭 슈나이더,유리 로웬탈",990775,1213060,396310,485224,965818.5,1527981.32,Thu,0,3,5
언프렌디드: 친구삭제,2015-05-07,179231,386,216843,386,northA,15,Horor/Mistery,4475,0,4950,475,유니버설픽쳐스인터내셔널 코리아(유),레오 가브리아제,"샐리 헤닝,모세 제이콥 스톰,윌 펠츠,헤더 소서맨",716924,867372,179231,216843,708672.65854,965092.63415,Thu,1,2,4
연애의 맛,2015-05-07,186219,398,212126,398,korea,19,Melo/Romance,635,0,1176,541,"(주)와우픽쳐스,(주)쇼박스",김아론,"오지호,최령,강예원,이종호,이혜란,박지환,정우일,정현진,유예원,이동진,형윤석,이승준,이은지,이은지,김중희,이은지,이은지,오민석",2102904.1667,2699416.5,186219,212126,2737244.4912,4025545.614,Thu,0,2,4
매드 맥스: 분노의 도로,2015-05-14,1166975,799,2287154,799,northA,15,Action/Criminal,1471,0,2005,534,워너브러더스 코리아(주),조지 밀러,"톰 하디,샤를리즈 테론,니콜라스 홀트,조 크라비츠,로지 헌팅턴-휘틀리,라일리 코프,메간 게일,애비 리,코트니 이튼",6566923,11139087,1166975,2287154,898054.19231,1389867.7308,Thu,1,2,5
악의 연대기,2015-05-14,1183194,776,1839347,776,korea,15,Thiller/War,4531,0,5113,582,씨제이이앤엠(주),백운학,"손현주,마동석,최다니엘,박서준,이준혁,이태호,이현우,강민정,조은수,서정우,최동헌,안용우,이명준,이성재,이용희,이은정,김태강,정원중,지대한,장준녕,정준원",9285217,13408956.5,1183194,1839347,965818.5,1527981.32,Thu,0,2,5
